Plant Name (Latin Name);Watering;Sunlight
Swiss Cheese Plant (Monstera Deliciosa);Water when the top 2–3 cm of soil is dry. Avoid soggy soil.;Bright, indirect light. Tolerates some shade.
Snake Plant (Sansevieria);Let soil dry out completely between watering.;Low to bright indirect light. Very tolerant.
Prayer Plant (Calathea);Keep soil lightly moist, not soggy. Loves humidity.;"Indirect light; avoid direct sun."
Bird of Paradise (Strelitzia);"Water when top layer is dry; more in summer.";Bright, direct or indirect light. Likes sun.
Banana Plant (Musa);Needs lots of water, keep soil moist.;Bright, indirect light. Some direct is okay.
Chinese Money Plant (Pilea Peperomioides);Water once soil is dry at the top. Don’t let it sit in water.;Bright, indirect light. Avoid direct sun.
Fiddle Leaf Fig (Ficus Lyrata);Water when top 2–5 cm of soil is dry.;Very bright, indirect light. Avoid drafts.
Dragon Tree (Dracaena);Water when soil is 50–75% dry. Don’t overwater.;Moderate to bright, indirect light.
Kentia Palm (Howea forsteriana);Water when top 3–5 cm is dry. Likes humidity.;"Indirect light; avoid harsh direct sun."
ZZ Plant (Zamioculcas zamiifolia);Very drought-tolerant. Water when fully dry.;Low to bright indirect light.
Spider Plant (Chlorophytum comosum);Keep soil slightly moist, not wet.;Bright to moderate indirect light.
Polka Dot Plant (Hypoestes phyllostachya);Water regularly to keep soil lightly moist.;Bright, indirect light.
Heartleaf Philodendron (Philodendron Scandens);Water when top of soil is dry. Avoid overwatering.;"Bright, indirect light; tolerates shade."
Philodendron Xanadu (Philodendron bipinnatifidum);Keep soil slightly moist. Allow top to dry before watering.;Bright, indirect light.
Emerald Philodendron (Philodendron erubescens 'Emerald');Water when top inch is dry. Don’t overwater.;Bright, filtered light. Avoid direct sun.
Variegated Monstera (Monstera Deliciosa ‘Variegata’);Allow topsoil to dry out between watering.;Bright, indirect light to preserve variegation.
Mini Monstera (Rhaphidophora tetrasperma);Water when top 2–3 cm is dry. Avoid soggy soil.;Bright, indirect light.
Wandering Jew (Tradescantia zebrina);Water when top layer dries out. Don’t let it dry out completely.;Bright, indirect light to keep colors vibrant.
Wax Plant (Hoya carnosa);Let soil dry out mostly between watering.;Bright, indirect light. Some direct sun is okay.
Caladium (Caladium bicolor);Keep soil consistently moist (not wet) during growing season.;Bright, indirect light. Goes dormant in winter.
